Test,Status,Points,Max,Message
Coalesce_no_coalescing,FAILED,0,2,['Coalesce_no_coalescing.c:37: The second item did not point back to the head of the list']
Coalesce_free_block_after,PASSED,3,3,
Malloc_Whole_First_Page_Multiple_Times,FAILED,0,3,['Malloc_Whole_First_Page_Multiple_Times.c:34: The expression freelist_head == ((void *)0) is false.']
Realloc_Payload_Integrity_And_Moved,PASSED,3,3,
Realloc_larger_fits_contiguous,PASSED,3,3,
Malloc_a_Char,PASSED,2,2,
Splinter,PASSED,3,3,
Splitting,PASSED,3,3,
Free_Coalesce_Forward_2_Times,PASSED,3,3,
Malloc_a_LongDouble,PASSED,2,2,
Realloc_smaller_size_ptr_should_not_move,PASSED,3,3,
StressTest,ERRORED,0,3,['The test crashed.']
Info_Malloc_And_Free,FAILED,0,3,"['Info_Malloc_And_Free.c:58: Incorrect meminfo allocations, 0, EXPECTED: 4']"
Malloc_a_7737,FAILED,0,3,"['Malloc_a_7737.c:53: freelist_head block size incorrect, Actual: -3664, EXPECTED: 432']"
Malloc_four_pages_across_multiple_mallocs_then_frees_all,FAILED,0,3,"[""Malloc_four_pages_across_multiple_mallocs_then_frees_all.c:36: Everything should've been allocated""]"
Realloc_size_zero_expect_NULL,PASSED,3,3,
Malloc_a_Short,PASSED,2,2,
Malloc_three_pages,FAILED,0,3,['Malloc_three_pages.c:38: freelist_head expected to be NULL']
Coalesce_free_block_before,PASSED,3,3,
Info_count_frees,PASSED,1,1,
Info_count_allocations,FAILED,0,1,"['Info_count_allocations.c:42: Info had incorrect values, 0, EXPECTED: 4']"
Info_count_external,PASSED,1,1,
Info_count_coalesces,PASSED,1,1,
Realloc_larger_fits_contiguous_absorb_splinter,ERRORED,0,3,['The test crashed.']
Malloc_a_Double,PASSED,2,2,
Malloc_two_pages,FAILED,0,3,['Malloc_two_pages.c:38: freelist_head expected to be NULL']
Malloc_one_page,FAILED,0,3,"['Malloc_one_page.c:37: Incorrect block size of one whole page in footer, Actual: 0, EXPECTED: 4096']"
Malloc_an_Integer,PASSED,2,2,
Coalesce_free_before_and_after,PASSED,3,3,
Realloc_larger_must_move,FAILED,0,3,['Realloc_larger_must_move.c:36: Block had to be moved but was not']
Check_next_prev_pointers_of_free_block_at_head_of_list_BaseCase,PASSED,2,2,
Malloc_773_Bytes,PASSED,2,2,
External_fragmentation_ask_sf_sbrk_for_more_space,FAILED,0,3,"['External_fragmentation_ask_sf_sbrk_for_more_space.c:37: Incorrect freelist_head block size, Actual: -32, EXPECTED: 4064']"
ManagingMemory_consecutive_list,PASSED,3,3,
Malloc_four_pages,ERRORED,0,3,['The test crashed.']
Realloc_Both_Extend_In_Place_And_Move,ERRORED,0,3,['The test crashed.']
Free_block_check_header_footer_values,PASSED,2,2,
Info_count_internal,PASSED,1,1,
Check_next_prev_pointers_of_free_block_at_head_of_list_3FreeBlocks,FAILED,0,2,['Check_next_prev_pointers_of_free_block_at_head_of_list_3FreeBlocks.c:52: Previous node does not point to expected next']
Required Unit Tests,Counted,3,3,Unittests
Total,COUNTED,56,100,Total Points
